table,question,date,response,Total (a),Male (b),Female (c),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),16-24 (d),18-24 (e),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 1st to 3rd May 2020,4,5,1,4,-,-,2,*,2,-,3,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 1st to 3rd May 2020,3,1,*,1,-,-,*,-,1,1,*,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 1st to 3rd May 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 1st to 3rd May 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 1st to 3rd May 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 1st to 3rd May 2020,Mean,4.45,4.63,4.37,-,-,4.58,4.51,3.92,4.55,4.41,-,4.46,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 1st to 3rd May 2020,Standard deviation Standard error,0.68,0.74,0.68,-,-,0.65,-,0.75,0.99,0.64,-,0.67,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,10,6,4,1,2,3,1,3,4,5,-,1,,,1,-,-,2,1,1,-,-,3,1,1,-,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,10**,6**,4**,1**,3**,3**,1**,3**,4**,5**,-**,1**,,,1**,-**,-**,2**,2**,1**,-**,-**,3**,1**,1**,-**,9**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 6th to 8th November 2020,NET: Trust,9,5,4,1,3,2,1,3,4,4,-,1,,,1,-,-,1,2,1,-,-,3,1,1,-,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 6th to 8th November 2020,5 - Trust completely,4,4,1,-,3,-,-,1,3,2,-,-,,,1,-,-,-,2,-,-,-,1,-,1,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 6th to 8th November 2020,4,5,2,3,1,-,2,1,1,1,3,-,1,,,-,-,-,1,-,1,-,-,2,1,-,-,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 6th to 8th November 2020,3,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 6th to 8th November 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 6th to 8th November 2020,1 - Do not trust at all,1,1,-,-,-,1,-,-,-,1,-,-,,,-,-,-,1,-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 6th to 8th November 2020,NET: Do not trust,1,1,-,-,-,1,-,-,-,1,-,-,,,-,-,-,1,-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 6th to 8th November 2020,Mean,4.21,4.23,4.17,4,5,3.26,4,4.55,4.68,3.9,-,4,,,5,-,-,2.9,5,4,-,-,4.26,4,5,-,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 6th to 8th November 2020,Standard deviation Standard error,1.08,1.41,0.43,-,*,1.59,-,0.63,0.54,1.39,-,-,,,-,-,-,-,-,-,-,-,0.56,-,-,-,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,4,4,-,-,-,1,1,2,1,3,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,3**,3**,-**,-**,-**,1**,***,2**,1**,2**,-**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 15th June 2020,NET: Trust,3,3,-,-,-,1,*,1,1,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 15th June 2020,5 - Trust completely,3,3,-,-,-,1,*,1,1,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 15th June 2020,4,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 15th June 2020,3,1,1,-,-,-,-,-,1,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 15th June 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 15th June 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 15th June 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 15th June 2020,Mean,4.52,4.52,-,-,-,5,5,4.23,5,4.22,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 15th June 2020,Standard deviation Standard error,1.02,1.02,-,-,-,-,-,1.35,-,1.36,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 4th to 6th June 2021,Unweighted base,6,5,1,-,2,-,1,3,-,4,-,2,,,1,-,1,-,-,1,1,-,-,1,1,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,6**,4**,2**,-**,1**,-**,1**,4**,-**,5**,-**,1**,,,1**,-**,1**,-**,-**,1**,2**,-**,-**,1**,***,-**,4**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 4th to 6th June 2021,NET: Trust,4,4,-,-,1,-,1,2,-,2,-,1,,,1,-,1,-,-,1,-,-,-,1,-,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 4th to 6th June 2021,5 - Trust completely,2,2,-,-,-,-,1,1,-,1,-,1,,,1,-,-,-,-,1,-,-,-,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 4th to 6th June 2021,4,2,2,-,-,1,-,-,1,-,1,-,1,,,-,-,1,-,-,-,-,-,-,1,-,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 4th to 6th June 2021,3,2,-,2,-,-,-,-,2,-,2,-,-,,,-,-,-,-,-,-,2,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 4th to 6th June 2021,2,*,*,-,-,*,-,-,-,-,*,-,-,,,-,-,-,-,-,-,-,-,-,-,*,-,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 4th to 6th June 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 4th to 6th June 2021,NET: Do not trust,*,*,-,-,*,-,-,-,-,*,-,-,,,-,-,-,-,-,-,-,-,-,-,*,-,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 4th to 6th June 2021,Mean,3.84,4.17,3,-,3.3,-,5,3.7,-,3.65,-,4.41,,,5,-,4,-,-,5,3,-,-,4,2,-,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 4th to 6th June 2021,Standard deviation Standard error,1,1.01,-,-,-,-,-,0.86,-,1.07,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 27th to 29th March 2020,Unweighted base,12,9,3,,,,,,4,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-,-,1,4,5,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 27th to 29th March 2020,Weighted base,14**,10**,3**,,,,,,3**,4**,4**,2**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4**,-**,-**,2**,4**,4**,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 27th to 29th March 2020,NET: Trust,8,5,3,,,,,,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,-,2,2,4,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 27th to 29th March 2020,5 - Trust completely,4,1,3,,,,,,1,3,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,-,2,1,1,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 27th to 29th March 2020,4,4,4,-,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,1,3,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 27th to 29th March 2020,3,6,6,-,,,,,,1,-,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-,-,-,2,1,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 27th to 29th March 2020,2,-,-,-,,,,,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 27th to 29th March 2020,1 - Do not trust at all,-,-,-,,,,,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 27th to 29th March 2020,NET: Do not trust,-,-,-,,,,,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 27th to 29th March 2020,Mean,3.87,3.52,5,,,,,,3.81,4.76,3.24,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,-,-,5,3.71,4.03,,,
Table 65,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 27th to 29th March 2020,Standard deviation Standard error,0.87,0.67,*,,,,,,1.07,0.49,0.49,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,-,-,-,0.94,0.68,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,10,6,4,-,2,4,1,3,3,5,-,2,,,-,-,2,-,2,1,1,-,2,2,-,-,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,5,4
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,8**,4**,4**,-**,1**,3**,1**,3**,3**,3**,-**,2**,,,-**,-**,2**,-**,1**,1**,1**,-**,2**,2**,-**,-**,8**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-**,5**,3**
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 4th to 6th December 2020,NET: Trust,8,4,4,-,1,3,1,3,3,3,-,2,,,-,-,2,-,1,1,1,-,2,2,-,-,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,5,3
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 4th to 6th December 2020,5 - Trust completely,5,3,3,-,1,-,1,3,3,1,-,1,,,-,-,1,-,1,-,-,-,2,2,-,-,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,4,2
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 4th to 6th December 2020,4,3,2,1,-,1,3,-,-,-,3,-,1,,,-,-,1,-,*,1,1,-,-,*,-,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,1,1
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 4th to 6th December 2020,3,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 4th to 6th December 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 4th to 6th December 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 4th to 6th December 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 4th to 6th December 2020,Mean,4.61,4.59,4.63,-,4.49,4,5,5,5,4.24,-,4.6,,,-,-,4.48,-,4.64,4,4,-,5,4.77,-,-,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,4.76,4.52
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 4th to 6th December 2020,Standard deviation Standard error,0.52,0.56,0.56,-,-,0,-,0,0,0.51,-,-,,,-,-,0.68,-,-,-,-,-,-,0.59,-,-,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0.49,0.61
Table 87,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,11,5,6,3,-,1,2,5,6,3,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 87,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,10**,4**,6**,3**,-**,1**,1**,5**,5**,3**,3**,-**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 87,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 19th to 21st June 2020,NET: Trust,8,4,4,1,-,1,1,5,4,2,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 87,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 19th to 21st June 2020,5 - Trust completely,2,2,-,1,-,-,-,1,1,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 87,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 19th to 21st June 2020,4,6,2,4,-,-,1,1,5,3,1,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 87,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 19th to 21st June 2020,3,2,-,2,2,-,-,-,-,1,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 87,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 19th to 21st June 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 87,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 19th to 21st June 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 87,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 19th to 21st June 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 87,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 19th to 21st June 2020,Mean,3.94,4.42,3.63,3.64,-,4,4,4.13,3.86,4.03,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 87,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 19th to 21st June 2020,Standard deviation Standard error,0.66,0.57,0.53,1.11,-,-,-,0.37,0.69,1.11,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,7,2,5,-,3,1,-,3,-,3,2,2,,,2,-,1,-,1,1,-,-,1,1,-,-,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,7**,3**,4**,-**,4**,1**,-**,3**,-**,4**,2**,2**,,,1**,-**,1**,-**,2**,1**,-**,-**,1**,1**,-**,-**,6**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 15th to 17th January 2021,NET: Trust,7,3,4,-,4,1,-,3,-,4,2,2,,,1,-,1,-,2,1,-,-,1,1,-,-,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 15th to 17th January 2021,5 - Trust completely,4,1,3,-,1,-,-,3,-,2,1,1,,,1,-,1,-,-,1,-,-,-,1,-,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 15th to 17th January 2021,4,3,2,1,-,2,1,-,-,-,2,1,1,,,1,-,-,-,2,-,-,-,1,-,-,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 15th to 17th January 2021,3,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 15th to 17th January 2021,2,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
