v4_2,LCL,UCL,yyyy-qq,Time,uk-only,Geography,measure-of-wellbeing,MeasureOfWellbeing,wellbeing-estimate,Estimate,seasonal-adjustment,SeasonalAdjustment
17.0,,,2011-q4,2011 Q4,K02000001,United Kingdom,life-satisfaction,Life satisfaction,fair,Fair,seasonal-adjustment,Seasonally adjusted
7.7,7.7,7.7,2011-q4,2011 Q4,K02000001,United Kingdom,worthwhile,Worthwhile,average-mean,Average (mean),non-seasonal-adjustment,Non-seasonally adjusted
3.1,3.1,3.1,2011-q4,2011 Q4,K02000001,United Kingdom,anxiety,Anxiety,average-mean,Average (mean),non-seasonal-adjustment,Non-seasonally adjusted
31.2,,,2011-q4,2011 Q4,K02000001,United Kingdom,happiness,Happiness,very-good,Very good,seasonal-adjustment,Seasonally adjusted
17.1,16.7,17.6,2011-q4,2011 Q4,K02000001,United Kingdom,life-satisfaction,Life satisfaction,fair,Fair,non-seasonal-adjustment,Non-seasonally adjusted
3.1,,,2011-q4,2011 Q4,K02000001,United Kingdom,anxiety,Anxiety,average-mean,Average (mean),seasonal-adjustment,Seasonally adjusted
23.8,,,2011-q4,2011 Q4,K02000001,United Kingdom,anxiety,Anxiety,good,Good,seasonal-adjustment,Seasonally adjusted
18.0,,,2011-q4,2011 Q4,K02000001,United Kingdom,anxiety,Anxiety,fair,Fair,seasonal-adjustment,Seasonally adjusted
7.4,7.4,7.5,2011-q4,2011 Q4,K02000001,United Kingdom,life-satisfaction,Life satisfaction,average-mean,Average (mean),non-seasonal-adjustment,Non-seasonally adjusted
6.1,5.7,6.4,2011-q4,2011 Q4,K02000001,United Kingdom,life-satisfaction,Life satisfaction,poor,Poor,non-seasonal-adjustment,Non-seasonally adjusted
37.4,,,2011-q4,2011 Q4,K02000001,United Kingdom,anxiety,Anxiety,very-good,Very good,seasonal-adjustment,Seasonally adjusted
36.8,36.2,37.5,2011-q4,2011 Q4,K02000001,United Kingdom,anxiety,Anxiety,very-good,Very good,non-seasonal-adjustment,Non-seasonally adjusted
31.5,,,2011-q4,2011 Q4,K02000001,United Kingdom,worthwhile,Worthwhile,very-good,Very good,seasonal-adjustment,Seasonally adjusted
10.4,,,2011-q4,2011 Q4,K02000001,United Kingdom,happiness,Happiness,poor,Poor,seasonal-adjustment,Seasonally adjusted
26.0,25.3,26.6,2011-q4,2011 Q4,K02000001,United Kingdom,life-satisfaction,Life satisfaction,very-good,Very good,non-seasonal-adjustment,Non-seasonally adjusted
49.7,,,2011-q4,2011 Q4,K02000001,United Kingdom,worthwhile,Worthwhile,good,Good,seasonal-adjustment,Seasonally adjusted
10.7,10.3,11.2,2011-q4,2011 Q4,K02000001,United Kingdom,happiness,Happiness,poor,Poor,non-seasonal-adjustment,Non-seasonally adjusted
40.3,39.6,40.9,2011-q4,2011 Q4,K02000001,United Kingdom,happiness,Happiness,good,Good,non-seasonal-adjustment,Non-seasonally adjusted
30.2,29.6,30.9,2011-q4,2011 Q4,K02000001,United Kingdom,happiness,Happiness,very-good,Very good,non-seasonal-adjustment,Non-seasonally adjusted
26.2,,,2011-q4,2011 Q4,K02000001,United Kingdom,life-satisfaction,Life satisfaction,very-good,Very good,seasonal-adjustment,Seasonally adjusted
18.0,17.5,18.5,2011-q4,2011 Q4,K02000001,United Kingdom,anxiety,Anxiety,fair,Fair,non-seasonal-adjustment,Non-seasonally adjusted
15.7,15.0,16.5,2020-q2,2020 Q2,K02000001,United Kingdom,life-satisfaction,Life satisfaction,fair,Fair,non-seasonal-adjustment,Non-seasonally adjusted
7.5,,,2020-q2,2020 Q2,K02000001,United Kingdom,life-satisfaction,Life satisfaction,average-mean,Average (mean),seasonal-adjustment,Seasonally adjusted
12.3,,,2020-q2,2020 Q2,K02000001,United Kingdom,worthwhile,Worthwhile,fair,Fair,seasonal-adjustment,Seasonally adjusted
12.3,11.6,12.9,2020-q2,2020 Q2,K02000001,United Kingdom,worthwhile,Worthwhile,fair,Fair,non-seasonal-adjustment,Non-seasonally adjusted
3.8,3.5,4.2,2020-q2,2020 Q2,K02000001,United Kingdom,worthwhile,Worthwhile,poor,Poor,non-seasonal-adjustment,Non-seasonally adjusted
32.5,31.6,33.4,2020-q2,2020 Q2,K02000001,United Kingdom,worthwhile,Worthwhile,very-good,Very good,non-seasonal-adjustment,Non-seasonally adjusted
7.8,,,2020-q2,2020 Q2,K02000001,United Kingdom,worthwhile,Worthwhile,average-mean,Average (mean),seasonal-adjustment,Seasonally adjusted
29.6,28.7,30.5,2020-q2,2020 Q2,K02000001,United Kingdom,happiness,Happiness,very-good,Very good,non-seasonal-adjustment,Non-seasonally adjusted
15.7,,,2020-q2,2020 Q2,K02000001,United Kingdom,life-satisfaction,Life satisfaction,fair,Fair,seasonal-adjustment,Seasonally adjusted
51.4,,,2020-q2,2020 Q2,K02000001,United Kingdom,worthwhile,Worthwhile,good,Good,seasonal-adjustment,Seasonally adjusted
3.8,,,2020-q2,2020 Q2,K02000001,United Kingdom,worthwhile,Worthwhile,poor,Poor,seasonal-adjustment,Seasonally adjusted
7.8,7.8,7.8,2020-q2,2020 Q2,K02000001,United Kingdom,worthwhile,Worthwhile,average-mean,Average (mean),non-seasonal-adjustment,Non-seasonally adjusted
25.0,24.2,25.9,2020-q2,2020 Q2,K02000001,United Kingdom,anxiety,Anxiety,poor,Poor,non-seasonal-adjustment,Non-seasonally adjusted
7.3,7.3,7.4,2020-q2,2020 Q2,K02000001,United Kingdom,happiness,Happiness,average-mean,Average (mean),non-seasonal-adjustment,Non-seasonally adjusted
9.2,,,2020-q2,2020 Q2,K02000001,United Kingdom,happiness,Happiness,poor,Poor,seasonal-adjustment,Seasonally adjusted
5.2,,,2020-q2,2020 Q2,K02000001,United Kingdom,life-satisfaction,Life satisfaction,poor,Poor,seasonal-adjustment,Seasonally adjusted
31.8,,,2020-q2,2020 Q2,K02000001,United Kingdom,worthwhile,Worthwhile,very-good,Very good,seasonal-adjustment,Seasonally adjusted
25.4,,,2020-q2,2020 Q2,K02000001,United Kingdom,anxiety,Anxiety,poor,Poor,seasonal-adjustment,Seasonally adjusted
7.5,7.5,7.6,2020-q2,2020 Q2,K02000001,United Kingdom,life-satisfaction,Life satisfaction,average-mean,Average (mean),non-seasonal-adjustment,Non-seasonally adjusted
53.3,52.3,54.2,2020-q2,2020 Q2,K02000001,United Kingdom,life-satisfaction,Life satisfaction,good,Good,non-seasonal-adjustment,Non-seasonally adjusted
42.9,41.9,43.8,2020-q2,2020 Q2,K02000001,United Kingdom,happiness,Happiness,good,Good,non-seasonal-adjustment,Non-seasonally adjusted
24.3,23.5,25.1,2020-q2,2020 Q2,K02000001,United Kingdom,anxiety,Anxiety,good,Good,non-seasonal-adjustment,Non-seasonally adjusted
51.4,50.4,52.4,2020-q2,2020 Q2,K02000001,United Kingdom,worthwhile,Worthwhile,good,Good,non-seasonal-adjustment,Non-seasonally adjusted
25.8,25.0,26.7,2020-q2,2020 Q2,K02000001,United Kingdom,life-satisfaction,Life satisfaction,very-good,Very good,non-seasonal-adjustment,Non-seasonally adjusted
18.6,17.9,19.4,2020-q2,2020 Q2,K02000001,United Kingdom,happiness,Happiness,fair,Fair,non-seasonal-adjustment,Non-seasonally adjusted
18.7,17.9,19.5,2020-q2,2020 Q2,K02000001,United Kingdom,anxiety,Anxiety,fair,Fair,non-seasonal-adjustment,Non-seasonally adjusted
19.3,,,2020-q2,2020 Q2,K02000001,United Kingdom,happiness,Happiness,fair,Fair,seasonal-adjustment,Seasonally adjusted
32.0,31.0,32.9,2020-q2,2020 Q2,K02000001,United Kingdom,anxiety,Anxiety,very-good,Very good,non-seasonal-adjustment,Non-seasonally adjusted
43.4,,,2020-q2,2020 Q2,K02000001,United Kingdom,happiness,Happiness,good,Good,seasonal-adjustment,Seasonally adjusted
53.6,,,2020-q2,2020 Q2,K02000001,United Kingdom,life-satisfaction,Life satisfaction,good,Good,seasonal-adjustment,Seasonally adjusted
18.7,,,2020-q2,2020 Q2,K02000001,United Kingdom,anxiety,Anxiety,fair,Fair,seasonal-adjustment,Seasonally adjusted
7.3,,,2020-q2,2020 Q2,K02000001,United Kingdom,happiness,Happiness,average-mean,Average (mean),seasonal-adjustment,Seasonally adjusted
25.1,,,2020-q2,2020 Q2,K02000001,United Kingdom,life-satisfaction,Life satisfaction,very-good,Very good,seasonal-adjustment,Seasonally adjusted
24.3,,,2020-q2,2020 Q2,K02000001,United Kingdom,anxiety,Anxiety,good,Good,seasonal-adjustment,Seasonally adjusted
5.2,4.8,5.6,2020-q2,2020 Q2,K02000001,United Kingdom,life-satisfaction,Life satisfaction,poor,Poor,non-seasonal-adjustment,Non-seasonally adjusted
8.9,8.4,9.5,2020-q2,2020 Q2,K02000001,United Kingdom,happiness,Happiness,poor,Poor,non-seasonal-adjustment,Non-seasonally adjusted
3.4,3.3,3.4,2020-q2,2020 Q2,K02000001,United Kingdom,anxiety,Anxiety,average-mean,Average (mean),non-seasonal-adjustment,Non-seasonally adjusted
28.4,,,2020-q2,2020 Q2,K02000001,United Kingdom,happiness,Happiness,very-good,Very good,seasonal-adjustment,Seasonally adjusted
3.4,,,2020-q2,2020 Q2,K02000001,United Kingdom,anxiety,Anxiety,average-mean,Average (mean),seasonal-adjustment,Seasonally adjusted
31.4,,,2020-q2,2020 Q2,K02000001,United Kingdom,anxiety,Anxiety,very-good,Very good,seasonal-adjustment,Seasonally adjusted
7.6,,,2021-q3,2021 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,average-mean,Average (mean),seasonal-adjustment,Seasonally adjusted
42.5,,,2021-q3,2021 Q3,K02000001,United Kingdom,happiness,Happiness,good,Good,seasonal-adjustment,Seasonally adjusted
16.8,,,2021-q3,2021 Q3,K02000001,United Kingdom,anxiety,Anxiety,fair,Fair,seasonal-adjustment,Seasonally adjusted
26.8,,,2021-q3,2021 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,very-good,Very good,seasonal-adjustment,Seasonally adjusted
12.3,,,2021-q3,2021 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,fair,Fair,seasonal-adjustment,Seasonally adjusted
4.7,4.3,5.0,2021-q3,2021 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,poor,Poor,non-seasonal-adjustment,Non-seasonally adjusted
54.2,53.3,55.1,2021-q3,2021 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,good,Good,non-seasonal-adjustment,Non-seasonally adjusted
36.7,,,2021-q3,2021 Q3,K02000001,United Kingdom,anxiety,Anxiety,very-good,Very good,seasonal-adjustment,Seasonally adjusted
7.5,7.5,7.6,2021-q3,2021 Q3,K02000001,United Kingdom,happiness,Happiness,average-mean,Average (mean),non-seasonal-adjustment,Non-seasonally adjusted
42.3,41.4,43.2,2021-q3,2021 Q3,K02000001,United Kingdom,happiness,Happiness,good,Good,non-seasonal-adjustment,Non-seasonally adjusted
37.2,36.3,38.1,2021-q3,2021 Q3,K02000001,United Kingdom,anxiety,Anxiety,very-good,Very good,non-seasonal-adjustment,Non-seasonally adjusted
50.5,49.6,51.5,2021-q3,2021 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,good,Good,non-seasonal-adjustment,Non-seasonally adjusted
33.5,32.6,34.3,2021-q3,2021 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,very-good,Very good,non-seasonal-adjustment,Non-seasonally adjusted
3.7,,,2021-q3,2021 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,poor,Poor,seasonal-adjustment,Seasonally adjusted
50.5,,,2021-q3,2021 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,good,Good,seasonal-adjustment,Seasonally adjusted
33.1,,,2021-q3,2021 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,very-good,Very good,seasonal-adjustment,Seasonally adjusted
7.8,7.8,7.9,2021-q3,2021 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,average-mean,Average (mean),non-seasonal-adjustment,Non-seasonally adjusted
14.3,,,2021-q3,2021 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,fair,Fair,seasonal-adjustment,Seasonally adjusted
4.7,,,2021-q3,2021 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,poor,Poor,seasonal-adjustment,Seasonally adjusted
24.2,23.4,25.0,2021-q3,2021 Q3,K02000001,United Kingdom,anxiety,Anxiety,good,Good,non-seasonal-adjustment,Non-seasonally adjusted
7.7,7.2,8.2,2021-q3,2021 Q3,K02000001,United Kingdom,happiness,Happiness,poor,Poor,non-seasonal-adjustment,Non-seasonally adjusted
16.8,16.1,17.5,2021-q3,2021 Q3,K02000001,United Kingdom,anxiety,Anxiety,fair,Fair,non-seasonal-adjustment,Non-seasonally adjusted
16.7,,,2021-q3,2021 Q3,K02000001,United Kingdom,happiness,Happiness,fair,Fair,seasonal-adjustment,Seasonally adjusted
14.3,13.7,14.9,2021-q3,2021 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,fair,Fair,non-seasonal-adjustment,Non-seasonally adjusted
3.1,,,2021-q3,2021 Q3,K02000001,United Kingdom,anxiety,Anxiety,average-mean,Average (mean),seasonal-adjustment,Seasonally adjusted
26.8,26.0,27.6,2021-q3,2021 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,very-good,Very good,non-seasonal-adjustment,Non-seasonally adjusted
33.6,32.7,34.5,2021-q3,2021 Q3,K02000001,United Kingdom,happiness,Happiness,very-good,Very good,non-seasonal-adjustment,Non-seasonally adjusted
7.5,,,2021-q3,2021 Q3,K02000001,United Kingdom,happiness,Happiness,average-mean,Average (mean),seasonal-adjustment,Seasonally adjusted
8.0,,,2021-q3,2021 Q3,K02000001,United Kingdom,happiness,Happiness,poor,Poor,seasonal-adjustment,Seasonally adjusted
16.4,15.7,17.2,2021-q3,2021 Q3,K02000001,United Kingdom,happiness,Happiness,fair,Fair,non-seasonal-adjustment,Non-seasonally adjusted
3.1,3.0,3.1,2021-q3,2021 Q3,K02000001,United Kingdom,anxiety,Anxiety,average-mean,Average (mean),non-seasonal-adjustment,Non-seasonally adjusted
33.0,,,2021-q3,2021 Q3,K02000001,United Kingdom,happiness,Happiness,very-good,Very good,seasonal-adjustment,Seasonally adjusted
7.8,,,2021-q3,2021 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,average-mean,Average (mean),seasonal-adjustment,Seasonally adjusted
3.7,3.3,4.0,2021-q3,2021 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,poor,Poor,non-seasonal-adjustment,Non-seasonally adjusted
12.3,11.7,13.0,2021-q3,2021 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,fair,Fair,non-seasonal-adjustment,Non-seasonally adjusted
54.5,,,2021-q3,2021 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,good,Good,seasonal-adjustment,Seasonally adjusted
7.6,7.6,7.6,2021-q3,2021 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,average-mean,Average (mean),non-seasonal-adjustment,Non-seasonally adjusted
21.9,21.1,22.6,2021-q3,2021 Q3,K02000001,United Kingdom,anxiety,Anxiety,poor,Poor,non-seasonal-adjustment,Non-seasonally adjusted
22.3,,,2021-q3,2021 Q3,K02000001,United Kingdom,anxiety,Anxiety,poor,Poor,seasonal-adjustment,Seasonally adjusted
24.2,,,2021-q3,2021 Q3,K02000001,United Kingdom,anxiety,Anxiety,good,Good,seasonal-adjustment,Seasonally adjusted
7.5,,,2020-q3,2020 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,average-mean,Average (mean),seasonal-adjustment,Seasonally adjusted
8.5,7.9,9.1,2020-q3,2020 Q3,K02000001,United Kingdom,happiness,Happiness,poor,Poor,non-seasonal-adjustment,Non-seasonally adjusted
3.2,,,2020-q3,2020 Q3,K02000001,United Kingdom,anxiety,Anxiety,average-mean,Average (mean),seasonal-adjustment,Seasonally adjusted
7.8,7.7,7.8,2020-q3,2020 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,average-mean,Average (mean),non-seasonal-adjustment,Non-seasonally adjusted
32.0,,,2020-q3,2020 Q3,K02000001,United Kingdom,happiness,Happiness,very-good,Very good,seasonal-adjustment,Seasonally adjusted
3.2,3.1,3.2,2020-q3,2020 Q3,K02000001,United Kingdom,anxiety,Anxiety,average-mean,Average (mean),non-seasonal-adjustment,Non-seasonally adjusted
22.8,22.1,23.6,2020-q3,2020 Q3,K02000001,United Kingdom,anxiety,Anxiety,poor,Poor,non-seasonal-adjustment,Non-seasonally adjusted
7.5,7.4,7.5,2020-q3,2020 Q3,K02000001,United Kingdom,happiness,Happiness,average-mean,Average (mean),non-seasonal-adjustment,Non-seasonally adjusted
7.8,,,2020-q3,2020 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,average-mean,Average (mean),seasonal-adjustment,Seasonally adjusted
32.4,,,2020-q3,2020 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,very-good,Very good,seasonal-adjustment,Seasonally adjusted
13.0,12.3,13.7,2020-q3,2020 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,fair,Fair,non-seasonal-adjustment,Non-seasonally adjusted
32.5,31.6,33.3,2020-q3,2020 Q3,K02000001,United Kingdom,happiness,Happiness,very-good,Very good,non-seasonal-adjustment,Non-seasonally adjusted
16.4,15.7,17.1,2020-q3,2020 Q3,K02000001,United Kingdom,happiness,Happiness,fair,Fair,non-seasonal-adjustment,Non-seasonally adjusted
14.9,14.3,15.6,2020-q3,2020 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,fair,Fair,non-seasonal-adjustment,Non-seasonally adjusted
54.9,,,2020-q3,2020 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,good,Good,seasonal-adjustment,Seasonally adjusted
3.9,,,2020-q3,2020 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,poor,Poor,seasonal-adjustment,Seasonally adjusted
17.4,16.8,18.1,2020-q3,2020 Q3,K02000001,United Kingdom,anxiety,Anxiety,fair,Fair,non-seasonal-adjustment,Non-seasonally adjusted
8.9,,,2020-q3,2020 Q3,K02000001,United Kingdom,happiness,Happiness,poor,Poor,seasonal-adjustment,Seasonally adjusted
42.9,,,2020-q3,2020 Q3,K02000001,United Kingdom,happiness,Happiness,good,Good,seasonal-adjustment,Seasonally adjusted
42.6,41.7,43.6,2020-q3,2020 Q3,K02000001,United Kingdom,happiness,Happiness,good,Good,non-seasonal-adjustment,Non-seasonally adjusted
34.4,,,2020-q3,2020 Q3,K02000001,United Kingdom,anxiety,Anxiety,very-good,Very good,seasonal-adjustment,Seasonally adjusted
5.3,,,2020-q3,2020 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,poor,Poor,seasonal-adjustment,Seasonally adjusted
15.0,,,2020-q3,2020 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,fair,Fair,seasonal-adjustment,Seasonally adjusted
54.6,53.7,55.6,2020-q3,2020 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,good,Good,non-seasonal-adjustment,Non-seasonally adjusted
3.9,3.5,4.3,2020-q3,2020 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,poor,Poor,non-seasonal-adjustment,Non-seasonally adjusted
17.4,,,2020-q3,2020 Q3,K02000001,United Kingdom,anxiety,Anxiety,fair,Fair,seasonal-adjustment,Seasonally adjusted
34.8,33.9,35.7,2020-q3,2020 Q3,K02000001,United Kingdom,anxiety,Anxiety,very-good,Very good,non-seasonal-adjustment,Non-seasonally adjusted
24.9,,,2020-q3,2020 Q3,K02000001,United Kingdom,anxiety,Anxiety,good,Good,seasonal-adjustment,Seasonally adjusted
13.0,,,2020-q3,2020 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,fair,Fair,seasonal-adjustment,Seasonally adjusted
50.4,49.5,51.3,2020-q3,2020 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,good,Good,non-seasonal-adjustment,Non-seasonally adjusted
23.3,,,2020-q3,2020 Q3,K02000001,United Kingdom,anxiety,Anxiety,poor,Poor,seasonal-adjustment,Seasonally adjusted
7.4,,,2020-q3,2020 Q3,K02000001,United Kingdom,happiness,Happiness,average-mean,Average (mean),seasonal-adjustment,Seasonally adjusted
16.7,,,2020-q3,2020 Q3,K02000001,United Kingdom,happiness,Happiness,fair,Fair,seasonal-adjustment,Seasonally adjusted
50.4,,,2020-q3,2020 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,good,Good,seasonal-adjustment,Seasonally adjusted
32.7,31.9,33.6,2020-q3,2020 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,very-good,Very good,non-seasonal-adjustment,Non-seasonally adjusted
25.1,,,2020-q3,2020 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,very-good,Very good,seasonal-adjustment,Seasonally adjusted
5.3,4.9,5.7,2020-q3,2020 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,poor,Poor,non-seasonal-adjustment,Non-seasonally adjusted
25.2,24.3,26.0,2020-q3,2020 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,very-good,Very good,non-seasonal-adjustment,Non-seasonally adjusted
24.9,24.1,25.8,2020-q3,2020 Q3,K02000001,United Kingdom,anxiety,Anxiety,good,Good,non-seasonal-adjustment,Non-seasonally adjusted
7.5,7.5,7.5,2020-q3,2020 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,average-mean,Average (mean),non-seasonal-adjustment,Non-seasonally adjusted
7.8,7.8,7.9,2015-q3,2015 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,average-mean,Average (mean),non-seasonal-adjustment,Non-seasonally adjusted
49.1,,,2015-q3,2015 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,good,Good,seasonal-adjustment,Seasonally adjusted
12.7,12.3,13.2,2015-q3,2015 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,fair,Fair,non-seasonal-adjustment,Non-seasonally adjusted
7.4,,,2015-q3,2015 Q3,K02000001,United Kingdom,happiness,Happiness,average-mean,Average (mean),seasonal-adjustment,Seasonally adjusted
8.8,8.4,9.1,2015-q3,2015 Q3,K02000001,United Kingdom,happiness,Happiness,poor,Poor,non-seasonal-adjustment,Non-seasonally adjusted
18.9,18.4,19.5,2015-q3,2015 Q3,K02000001,United Kingdom,anxiety,Anxiety,poor,Poor,non-seasonal-adjustment,Non-seasonally adjusted
2.9,,,2015-q3,2015 Q3,K02000001,United Kingdom,anxiety,Anxiety,average-mean,Average (mean),seasonal-adjustment,Seasonally adjusted
40.6,,,2015-q3,2015 Q3,K02000001,United Kingdom,anxiety,Anxiety,very-good,Very good,seasonal-adjustment,Seasonally adjusted
34.2,,,2015-q3,2015 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,very-good,Very good,seasonal-adjustment,Seasonally adjusted
12.7,,,2015-q3,2015 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,fair,Fair,seasonal-adjustment,Seasonally adjusted
7.5,7.4,7.5,2015-q3,2015 Q3,K02000001,United Kingdom,happiness,Happiness,average-mean,Average (mean),non-seasonal-adjustment,Non-seasonally adjusted
23.1,,,2015-q3,2015 Q3,K02000001,United Kingdom,anxiety,Anxiety,good,Good,seasonal-adjustment,Seasonally adjusted
19.3,,,2015-q3,2015 Q3,K02000001,United Kingdom,anxiety,Anxiety,poor,Poor,seasonal-adjustment,Seasonally adjusted
7.8,,,2015-q3,2015 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,average-mean,Average (mean),seasonal-adjustment,Seasonally adjusted
51.7,51.0,52.4,2015-q3,2015 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,good,Good,non-seasonal-adjustment,Non-seasonally adjusted
49.1,48.4,49.8,2015-q3,2015 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,good,Good,non-seasonal-adjustment,Non-seasonally adjusted
16.9,,,2015-q3,2015 Q3,K02000001,United Kingdom,happiness,Happiness,fair,Fair,seasonal-adjustment,Seasonally adjusted
16.8,16.3,17.4,2015-q3,2015 Q3,K02000001,United Kingdom,anxiety,Anxiety,fair,Fair,non-seasonal-adjustment,Non-seasonally adjusted
14.4,,,2015-q3,2015 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,fair,Fair,seasonal-adjustment,Seasonally adjusted
52.1,,,2015-q3,2015 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,good,Good,seasonal-adjustment,Seasonally adjusted
29.0,,,2015-q3,2015 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,very-good,Very good,seasonal-adjustment,Seasonally adjusted
7.6,,,2015-q3,2015 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,average-mean,Average (mean),seasonal-adjustment,Seasonally adjusted
4.6,4.4,4.9,2015-q3,2015 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,poor,Poor,non-seasonal-adjustment,Non-seasonally adjusted
41.1,40.5,41.8,2015-q3,2015 Q3,K02000001,United Kingdom,anxiety,Anxiety,very-good,Very good,non-seasonal-adjustment,Non-seasonally adjusted
16.8,,,2015-q3,2015 Q3,K02000001,United Kingdom,anxiety,Anxiety,fair,Fair,seasonal-adjustment,Seasonally adjusted
7.6,7.6,7.7,2015-q3,2015 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,average-mean,Average (mean),non-seasonal-adjustment,Non-seasonally adjusted
3.8,,,2015-q3,2015 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,poor,Poor,seasonal-adjustment,Seasonally adjusted
3.8,3.5,4.0,2015-q3,2015 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,poor,Poor,non-seasonal-adjustment,Non-seasonally adjusted
40.1,39.4,40.8,2015-q3,2015 Q3,K02000001,United Kingdom,happiness,Happiness,good,Good,non-seasonal-adjustment,Non-seasonally adjusted
34.6,34.0,35.3,2015-q3,2015 Q3,K02000001,United Kingdom,happiness,Happiness,very-good,Very good,non-seasonal-adjustment,Non-seasonally adjusted
2.8,2.8,2.9,2015-q3,2015 Q3,K02000001,United Kingdom,anxiety,Anxiety,average-mean,Average (mean),non-seasonal-adjustment,Non-seasonally adjusted
14.4,13.9,14.9,2015-q3,2015 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,fair,Fair,non-seasonal-adjustment,Non-seasonally adjusted
40.5,,,2015-q3,2015 Q3,K02000001,United Kingdom,happiness,Happiness,good,Good,seasonal-adjustment,Seasonally adjusted
33.8,,,2015-q3,2015 Q3,K02000001,United Kingdom,happiness,Happiness,very-good,Very good,seasonal-adjustment,Seasonally adjusted
29.3,28.6,29.9,2015-q3,2015 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,very-good,Very good,non-seasonal-adjustment,Non-seasonally adjusted
23.1,22.5,23.7,2015-q3,2015 Q3,K02000001,United Kingdom,anxiety,Anxiety,good,Good,non-seasonal-adjustment,Non-seasonally adjusted
16.5,16.0,17.0,2015-q3,2015 Q3,K02000001,United Kingdom,happiness,Happiness,fair,Fair,non-seasonal-adjustment,Non-seasonally adjusted
4.6,,,2015-q3,2015 Q3,K02000001,United Kingdom,life-satisfaction,Life satisfaction,poor,Poor,seasonal-adjustment,Seasonally adjusted
9.0,,,2015-q3,2015 Q3,K02000001,United Kingdom,happiness,Happiness,poor,Poor,seasonal-adjustment,Seasonally adjusted
34.4,33.7,35.1,2015-q3,2015 Q3,K02000001,United Kingdom,worthwhile,Worthwhile,very-good,Very good,non-seasonal-adjustment,Non-seasonally adjusted
16.0,,,2022-q4,2022 Q4,K02000001,United Kingdom,life-satisfaction,Life satisfaction,fair,Fair,seasonal-adjustment,Seasonally adjusted
55.6,54.5,56.7,2022-q4,2022 Q4,K02000001,United Kingdom,life-satisfaction,Life satisfaction,good,Good,non-seasonal-adjustment,Non-seasonally adjusted
